#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
22,Hassan Whiteside,MIA,28,77,39,38,2513,18.7,7.8,13.9,55.7,0.0,0.0,0.0,3.2,5.1,62.8,4.2,11.4,15.6,0.8,2.2,0.8,2.3,3.2,45.8,58,0,1.4
23,Andre Drummond,DET,23,81,36,45,2409,16.5,7.2,13.6,53.0,0.0,0.1,28.6,2.0,5.3,38.6,5.2,11.5,16.7,1.3,2.3,1.9,1.3,3.5,45.8,49,0,-4.1
24,Kyle O'Quinn,NYK,27,79,29,50,1229,14.5,6.3,12.1,52.1,0.1,0.5,11.8,1.9,2.4,77.1,4.6,8.3,12.9,3.4,2.2,1.1,3.0,5.1,45.2,6,0,-4.7
26,Nikola Vucevic,ORL,26,75,27,48,2163,18.2,8.0,17.2,46.8,0.4,1.2,30.7,1.8,2.7,66.9,2.9,10.0,13.0,3.5,1.9,1.3,1.2,3.0,44.5,38,0,-2.3
27,Alan Williams,PHX,24,47,11,36,708,17.6,7.0,13.6,51.7,0.0,0.1,0.0,3.6,5.7,62.5,4.8,10.1,14.9,1.2,1.9,1.4,1.6,6.4,44.3,15,0,0.1
28,Isaiah Thomas,BOS,28,76,51,25,2569,30.8,9.6,20.6,46.3,3.4,9.1,37.9,8.3,9.1,90.9,0.6,2.3,2.9,6.3,2.9,1.0,0.2,2.3,44.2,5,0,3.9
29,Jimmy Butler,CHI,27,76,40,36,2809,23.3,7.3,16.0,45.5,1.2,3.2,36.7,7.5,8.7,86.5,1.7,4.4,6.0,5.3,2.0,1.8,0.4,1.4,43.2,15,2,2.6
30,Damian Lillard,POR,26,75,38,37,2693,27.1,8.8,19.9,44.4,2.9,7.7,37.0,6.5,7.3,89.5,0.6,4.3,4.9,5.9,2.6,0.9,0.3,2.0,42.7,11,0,1.1
31,Blake Griffin,LAC,28,61,40,21,2076,22.8,8.3,16.8,49.3,0.7,2.0,33.6,5.5,7.3,76.0,1.9,6.7,8.6,5.2,2.5,1.0,0.4,2.7,42.6,19,1,7.7
32,Jeremy Lin,BKN,28,36,13,23,883,21.3,7.1,16.3,43.8,2.4,6.4,37.2,4.7,5.8,81.6,0.4,5.1,5.5,7.5,3.5,1.7,0.6,3.2,42.5,3,0,-3.4
