#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
20,Charlotte Hornets,9,4,5,0.444,48,91.9,33.9,77.4,43.8,4.9,12.3,39.6,19.2,25.7,74.9,10.2,31,41.2,17.7,14.6,6.2,5.4,5.4,23.7,0.1,-4.3,2001
21,New York Knicks,11,4,7,0.364,48,86.2,31,75.5,41,4.6,14.5,32.1,19.5,26.3,74.4,10,30.4,40.4,18.8,14.9,7.1,2.9,5.1,21.7,0.1,-4.5,2001
21,Seattle SuperSonics,11,4,7,0.364,49.4,96.5,37,84.2,44,7.5,19.3,39.2,15,20.3,74,12.5,29.4,41.9,21.9,15.8,8.5,4.2,4.7,24.5,0.1,-2.2,2001
21,Utah Jazz,11,4,7,0.364,48.5,95.7,34.9,75.5,46.3,2.5,8.5,29,23.5,30.7,76.3,11.9,28.7,40.6,25.5,18.8,8.6,6.9,6.2,24.1,0.1,-5.2,2001
24,Atlanta Hawks,10,3,7,0.3,48.5,90.6,33.6,78.2,43,3.5,10.9,32.1,19.9,26.3,75.7,12.1,31.7,43.8,17.5,17.7,7.2,4.5,6.5,21.2,0.1,-6.7,2001
25,Miami Heat,9,2,7,0.222,48.6,82.7,33.2,77.4,42.9,3.2,10,32.2,13,19.3,67.2,9.4,29.7,39.1,19.2,15.9,6.6,6.6,3.3,24.1,0.2,-5.6,2001
25,Washington Wizards,9,2,7,0.222,48,91.8,34.3,81.6,42.1,3,8.8,34.2,20.1,25.1,80.1,11.6,28,39.6,18.2,12.6,7.2,3.6,4.7,22.7,0,-5.7,2001
27,Cleveland Cavaliers,11,2,9,0.182,48,88.5,33.4,79.8,41.8,3.9,11.2,35,17.9,23.3,77,11.5,30.8,42.3,21.1,14.6,5.5,4.7,6.2,21.5,0.2,-10.3,2001
28,Memphis Grizzlies,9,1,8,0.111,48,89.8,33.6,82.3,40.8,5.3,18.1,29.4,17.3,25.8,67.2,13.8,29.3,43.1,21.9,16.3,8.2,6.1,5.9,21.3,0.1,-10.9,2001
29,Chicago Bulls,10,1,9,0.1,48,82.5,31.7,76.7,41.3,1.5,7.1,21.1,17.6,25.8,68.2,10,29.6,39.6,21,16.4,7.7,3.9,5.9,22.2,0,-16.6,2001
