#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
18,Minnesota Timberwolves,23,11,12,0.478,48,109.8,40.1,90.7,44.2,10.8,30,35.9,18.9,23.2,81.4,11.3,32.7,44,23.2,13.7,9.4,5.4,5.1,19.8,21.7,-0.7,2018
18,New Orleans Pelicans,23,11,12,0.478,48,117.7,43.6,91.8,47.5,9.8,28.5,34.4,20.7,27,76.9,12.3,36.2,48.5,26.5,15.4,7,5.8,5.3,22.5,23.3,1.3,2018
18,Orlando Magic,23,11,12,0.478,48,105.8,40.4,88.8,45.5,11,31.3,35,14.1,18,78.1,9,33.2,42.2,26.2,13.7,7.3,5.7,4.7,20.1,19.5,-2.3,2018
18,Utah Jazz,23,11,12,0.478,48,105.9,38.2,83.3,45.8,10.4,31.9,32.6,19.2,26.9,71.2,9.3,33.3,42.5,23.7,15.9,8.6,5.4,4.3,22.1,23.7,-2.3,2018
22,San Antonio Spurs,22,10,12,0.455,48.5,108.5,40.5,89.8,45.1,9.4,24.8,37.9,18.1,22.2,81.6,11,33.9,44.9,23.5,12.4,5.9,4.1,4.7,18.6,21.7,-3.6,2018
23,Washington Wizards,23,9,14,0.391,48.4,111.7,40.7,88.8,45.8,10.4,32.5,32,20,26.5,75.2,9,32,41.1,23.6,14.2,8.7,6.1,4.9,22.6,23.4,-5.4,2018
24,Miami Heat,21,8,13,0.381,48.2,108.5,39,89.9,43.4,12,33.4,35.9,18.4,26.2,70.2,12.3,35.2,47.5,22,16,7.5,6.4,6.1,23.6,23.7,-1.6,2018
25,Brooklyn Nets,24,8,16,0.333,48.6,109,39.5,89,44.3,12.1,34.6,34.9,18,24.5,73.8,12.2,32.6,44.8,22.6,15,6.8,4.1,4.9,23.6,21.8,-2.5,2018
25,New York Knicks,24,8,16,0.333,48.6,109,39.9,91,43.9,10,29,34.3,19.2,24.4,78.7,12,33.5,45.5,19.1,14.8,7.4,5.2,6.8,23.3,22,-5.6,2018
27,Atlanta Hawks,23,5,18,0.217,48,107.4,39.3,89.3,44,11.3,35.7,31.8,17.5,23.6,74.2,10.1,33.8,43.9,24.4,18.4,9,6,5.4,23.6,23.6,-10.7,2018
28,Chicago Bulls,24,5,19,0.208,48.6,103.4,38.5,87.3,44.1,10,29.3,34,16.4,21.1,77.9,7.4,34.5,41.9,22.1,15.2,7.7,4.9,6.8,20.2,19.3,-9.6,2018
29,Cleveland Cavaliers,22,4,18,0.182,48,102.7,38.6,87.3,44.2,8.4,23.7,35.4,17.1,21.6,79.4,12,31.5,43.5,19.3,14.5,7,2.3,5.7,21.7,20.4,-8.3,2018
29,Phoenix Suns,22,4,18,0.182,48.2,103.3,39,84.8,46,10.1,30.2,33.6,15.1,19.6,77.1,7.9,31.9,39.8,23.3,16.5,7.8,4,4.8,23.6,19.4,-10.1,2018
1,Los Angeles Lakers,22,19,3,0.864,48.2,112.3,42.7,88.4,48.3,10.7,29.7,36.1,16.2,22,73.4,10,35.4,45.4,26.5,14.9,8.7,7.4,3.3,19.9,21.1,9,2019
1,Milwaukee Bucks,22,19,3,0.864,48.2,121.1,44.1,91.2,48.4,14.1,40,35.3,18.8,26.2,71.9,10.1,41.7,51.8,25.6,14.8,7.5,6.2,4.1,20.4,22.5,12.9,2019
3,Boston Celtics,20,15,5,0.75,48.3,110.8,39.9,90.3,44.1,12.2,35.1,34.8,18.9,23.6,80.1,11.1,35.5,46.6,23.6,13.1,8.8,5.9,5.8,21.3,22.5,6.9,2019
4,Denver Nuggets,19,14,5,0.737,48.8,107.3,40.8,90.5,45.1,10.7,30,35.8,15,20.4,73.6,11,36,47,26.5,13.9,8,5,4.8,20.9,21,5.9,2019
5,LA Clippers,22,16,6,0.727,48.2,115.5,41.6,90.3,46,11.8,32.7,36,20.5,26.5,77.5,11.7,37.4,49,23.5,16.2,7.6,5.5,4.9,23.3,24.1,7.7,2019
6,Dallas Mavericks,21,15,6,0.714,48.2,118,41.6,90.1,46.2,14.6,40.5,36.1,20.1,25.9,77.7,11,36.7,47.8,24.3,12.9,6.6,4.6,3.9,19.5,22.6,8.6,2019
6,Miami Heat,21,15,6,0.714,48.5,111,39.4,83.1,47.4,12.8,32.9,38.8,19.3,25.5,75.9,9,35.9,44.9,25,18.2,8.6,4.6,3.9,22.1,22.8,5.3,2019
6,Toronto Raptors,21,15,6,0.714,48.5,112.9,40.2,88,45.7,14.2,36.6,38.9,18.2,22.6,80.6,9.2,36.9,46.1,25.8,15.3,8.2,5.1,5.9,21.4,20.8,7.2,2019
9,Philadelphia 76ers,22,15,7,0.682,48.2,108.8,40.4,86.1,46.9,10.7,29.5,36.2,17.3,23.1,74.8,9.6,36.6,46.2,26,16.7,8.8,5.7,4.1,22.9,21.8,4.4,2019
10,Houston Rockets,21,14,7,0.667,48.5,120.8,40.7,91.5,44.5,16,46.4,34.4,23.4,29.6,79.2,11.7,36.5,48.2,22,15.8,8.7,4.7,4.5,22.7,23.2,5.6,2019
10,Indiana Pacers,21,14,7,0.667,48.5,109.9,42.8,90.4,47.4,9.7,26.5,36.7,14.5,17.8,81.8,10,34.7,44.7,24.8,14,6.8,5,4.7,21,19.3,5.5,2019
12,Utah Jazz,22,12,10,0.545,48,105.7,37.5,83.6,44.9,11.7,31.1,37.7,19,24.7,76.7,8.2,37.1,45.3,21,16.3,6,4.4,5.6,21.5,22.1,-0.2,2019
13,Brooklyn Nets,21,11,10,0.524,48.5,113,41,90.8,45.1,13.2,37.6,35.2,17.8,24,74.2,10.7,36.4,47.1,23.9,16,6.9,5.2,5,22.1,21.6,-0.8,2019
14,Minnesota Timberwolves,20,10,10,0.5,48.8,113.7,40.3,92.2,43.7,13,39.3,33,20.3,26.7,76,11.2,37.1,48.3,23.7,15.6,8.2,6.6,5.3,21.9,22.8,-1.1,2019
